,Unnamed: 0,Feeder_Category,CABLE_SIZE,No_of_times_exceeded_60_,LENGTH_OF_CABLE_MTRS_,NO__OF_JOINTS,AGE_YRS_,PILC,XLPE,DATE_ONLY,Average_Current,Peak_Current,Average_voltage,Peak_Voltage,target,Avg_Heat_Index,Peak_HI,Avg_humidity,Max_Humidity,Avg_TEMP,Max_TEMP,New_Summer,New_Monsoon,New_Winter,Feeder,Switch,Section Id,Pathid,Lat,Long,Feeder_Switch_ID_V1,Customer At Risk,Fee_Sw_Refe_ID
67,67,0,0,0,582.8,20.0,15.0,1,1,09-10-2016,0.1,0.1,11.006875,11.17,0,32.51250118,42.1740966,93.90125,100.0,27.44604167,30.92,0,1,0,30462,12850,37574-12850-5,BabasahebAmbedkarNagar,19.92026262,74.15988129,30462_12850_68,28,30850_13669_260
68,68,0,1,0,1340.0,5.0,10.0,0,1,11-10-2016,0.0,0.0,11.0884375,11.28,0,33.7589348,43.2981746,92.61979167,100.0,27.93510417,31.41,0,1,0,30462,12850,37574-12850-5,BackbayReclamation,19.358124,73.84675971,30462_12850_69,43,30462_12852_85
69,69,0,0,0,1150.0,25.0,17.0,1,1,12-10-2016,14.18572917,119.52,11.10770833,11.39,1,32.37452049,40.13350504,91.27302083,100.0,27.5871875,30.72,0,1,0,30462,12850,37574-12850-5,GaneshMurtiNagar,19.99628597,72.88482088,30462_12850_70,37,30462_12852_85
70,70,0,0,0,1084.9,6.0,23.0,1,0,13-10-2016,0.1,0.1,11.13197917,11.33,1,32.25334017,41.23611155,87.74552083,96.86,27.71322917,31.74,0,1,0,30462,12850,37574-12850-5,NewNavyNagar,20.2070988,72.98329608,30462_12850_71,28,30462_12852_85
71,71,0,0,0,869.43,5.0,32.0,1,1,26-10-2016,25.71354167,93.26,11.01135417,11.15,1,29.94409723,39.28861593,77.14260417,90.13,27.41541667,32.9,0,1,0,30462,12850,37574-12850-1,OldNavyNagar,18.69001029,73.86246447,30462_12850_72,46,30462_12852_85
72,72,1,0,0,593.0,3.0,22.0,1,0,30-10-2016,18.07,18.07,11.06760417,11.3,0,29.26244479,35.56880955,65.86791667,82.22,27.62197917,33.12,0,1,0,30462,12850,37574-12850-6,AzadNagar,18.87967789,73.42953517,30462_12850_73,40,30462_12852_85
73,73,0,0,0,1812.4,13.0,22.0,1,0,04-11-2016,65.5890625,74.12,10.89541667,11.22,0,29.64121318,34.829275,56.37635417,67.98,28.27645833,32.83,0,0,1,30462,12850,37574-12850-5,NavyNagar,20.61047575,74.85087434,30462_12850_74,31,30462_12852_85
74,74,1,1,0,1904.23,16.0,29.0,1,1,04-11-2016,0.1,0.1,10.88645833,11.25,0,29.64121318,34.829275,56.37635417,67.98,28.27645833,32.83,0,0,1,30462,12850,37574-12850-5,KempsCorner,18.59942328,73.48751145,30462_12850_75,35,30462_12852_85
75,75,0,0,0,1200.0,1.0,25.0,1,1,15-11-2016,0.0,0.0,11.00677083,11.21,0,28.50176347,35.76328321,65.34104167,84.23,27.38604167,33.9,0,0,1,30462,12852,12852-37610-6,KhareghatColony,19.79466326,73.77367681,30462_12852_76,45,30462_10499_11
76,76,0,2,0,1078.3,10.0,42.0,1,0,17-11-2016,10.82395833,51.86,11.02552083,11.17,1,29.01596149,35.96891312,64.06947917,83.89,27.47604167,34.14,0,0,1,30462,12852,12852-37610-6,DadiShethWadi,20.45009454,72.99419169,30462_12852_77,43,30462_10499_11
77,77,1,1,0,745.6,7.0,22.75098814229249,1,0,23-11-2016,28.76010417,37.79,11.00729167,11.21,1,27.95688481,34.63766307,58.54260417,79.82,27.25791667,34.33,0,0,1,30462,12852,12852-37610-6,SimlaNagar,18.45169333,73.41240914,30462_12852_78,41,30462_10499_11
